seed,epoch,train_loss,val_loss,val_per
1,352,0.022107619792222977,,
1,353,,22.998787704037458,0.10656648129224777
1,354,0.24551130831241608,,
1,355,0.01563972979784012,,
1,357,0.02015688084065914,,
1,358,0.14291052520275116,,
1,360,0.008719947189092636,,
1,361,0.009513131342828274,,
1,362,0.032144688069820404,,
1,363,0.006057398859411478,,
1,364,,22.647182711740818,0.10386064648628235
1,366,0.0319969616830349,,
1,367,0.005333126522600651,,
1,369,0.16602230072021484,,
1,370,0.01649477146565914,,
1,371,0.026159927248954773,,
1,372,0.041172780096530914,,
1,373,0.010457728989422321,,
1,374,0.017276190221309662,,
1,375,,22.597884511075367,0.10366737097501755
1,376,0.02327800914645195,,
1,379,0.004786025267094374,,
1,381,0.018070051446557045,,
1,382,0.025077298283576965,,
1,383,0.04041492938995361,,
1,384,0.015297269448637962,,
1,385,0.01266423985362053,,
1,386,,23.035145396139562,0.10511692613363266
1,388,0.011240973137319088,,
1,389,0.02559584006667137,,
1,390,0.04434387758374214,,
1,391,0.08209925889968872,,
1,392,0.02504594624042511,,
1,393,0.02936943806707859,,
1,396,0.03300587087869644,,
1,398,0.010362246073782444,,
1,399,0.015547918155789375,,
1,400,0.015534808859229088,,
1,401,0.006273115985095501,,
1,402,0.013020497746765614,,
1,403,0.03023923560976982,,
1,404,0.008533453568816185,,
1,405,0.03471998870372772,,
1,406,0.07306455075740814,,
1,407,0.03673676401376724,,
1,409,0.02057790756225586,,
1,410,0.010022040456533432,,
1,412,0.022369202226400375,,
1,413,0.011701127514243126,,
1,414,0.062265217304229736,,
1,415,0.088884636759758,,
1,418,0.03837835043668747,,
1,420,0.03338083624839783,,
1,421,0.027552254498004913,,
1,422,0.047881998121738434,,
1,423,0.022469162940979004,,
1,424,0.016217514872550964,,
1,425,0.007028655614703894,,
1,427,0.016321510076522827,,
1,428,0.02584475837647915,,
1,429,0.01853753626346588,,
1,430,,23.036619453895383,0.10388480871915817
1,431,0.006165419705212116,,
1,433,0.020696310326457024,,
1,437,0.025180526077747345,,
1,439,0.04647204652428627,,
1,440,0.04451090842485428,,
1,441,,22.584670438999083,0.1030392274260521
1,443,0.02537589520215988,,
1,444,0.02750779129564762,,
1,445,0.01233738660812378,,
1,447,0.10586699843406677,,
1,449,0.04024563729763031,,
1,450,0.013664665631949902,,
1,451,0.015504350885748863,,
1,453,0.0024350506719201803,,
1,454,0.011387095786631107,,
1,455,0.04318094626069069,,
1,456,0.10298831760883331,,
1,457,0.028904851526021957,,
1,458,0.0786498486995697,,
1,459,0.01816912181675434,,
1,460,0.017765764147043228,,
1,461,0.022806644439697266,,
1,462,0.004170311614871025,,
1,463,,22.751367382886933,0.10231444984674454
1,464,0.02368510141968727,,
1,465,0.03721616417169571,,
1,466,0.052614498883485794,,
1,468,0.005058743990957737,,
1,470,0.025890832766890526,,
1,471,0.015182582661509514,,
1,472,0.06456968933343887,,
1,474,,22.504917842585865,0.10190374404191971
1,476,0.025544915348291397,,
1,479,0.060045696794986725,,
1,480,0.0073638660833239555,,
1,481,0.014661328867077827,,
1,484,0.003837072988972068,,
1,485,,22.19241328646497,0.1018071100115776
1,486,0.010310571640729904,,
1,488,0.03949493169784546,,
1,490,0.013928990811109543,,
1,492,0.009141720831394196,,
1,493,0.006491502746939659,,
1,495,0.006050484254956245,,
1,496,,22.405615780411697,0.10219365358352661
1,497,0.00898582674562931,,
1,498,0.005973902530968189,,
1,499,0.015157494693994522,,
1,500,0.008802436292171478,,
1,501,0.018159206956624985,,
1,502,0.030259503051638603,,
1,503,0.04797995835542679,,
1,504,0.032682742923498154,,
1,505,0.015298225916922092,,
1,506,0.01793774962425232,,
1,507,,22.367226251741734,0.10178294777870178
1,508,0.03614700958132744,,
1,509,0.006222192198038101,,
1,510,0.008417095988988876,,
1,511,0.020278096199035645,,
1,512,0.010133686475455761,,
1,514,0.02460005134344101,,
1,515,0.004136205185204744,,
1,516,0.01201638113707304,,
1,517,0.006725667975842953,,
1,518,,22.30402797605933,0.10171046853065491
1,521,0.030956562608480453,,
1,522,0.016055861487984657,,
1,523,0.007333151996135712,,
1,524,0.01163048017770052,,
1,525,0.020721517503261566,,
1,526,0.03222714737057686,,
1,528,0.014913523569703102,,
1,529,,22.366756901508424,0.101034015417099
1,530,0.016120953485369682,,
1,531,0.01709139160811901,,
1,534,0.029073012992739677,,
1,535,0.006741976831108332,,
1,536,0.004391432274132967,,
1,537,0.008221831172704697,,
1,538,0.0033303461968898773,,
1,539,0.023560887202620506,,
1,540,,22.325186142107334,0.10081657767295837
1,541,0.00759077025577426,,
1,542,0.01766897551715374,,
1,543,0.01911062002182007,,
1,544,0.023263875395059586,,
1,545,0.003419030923396349,,
1,546,0.010698281228542328,,
1,547,0.01048886775970459,,
1,548,0.026959573850035667,,
1,549,0.030695166438817978,,
1,550,0.006154252216219902,,
1,551,,22.127340433074206,0.10030923783779144
1,552,0.04972391575574875,,
1,553,0.07410068809986115,,
1,554,0.005652629770338535,,
1,555,0.030264925211668015,,
1,556,0.006637283135205507,,
1,557,0.05095219984650612,,
1,558,0.05242340266704559,,
1,559,0.004280160181224346,,
1,560,0.023004628717899323,,
1,561,0.008371233940124512,,
1,562,,22.201648185892804,0.10110648721456528
1,563,0.0073542408645153046,,
